scene	lock_time	end_time	duration	status	image
2	5.920000	10.000000	4.080000	OK	scene_0001.png
3	10.000000	13.940000	3.940000	OK	scene_0002.png
4	13.940000	20.060000	6.120000	OK	scene_0003.png
5	20.060000	22.720000	2.660000	OK	scene_0004.png
6	22.720000	33.220000	10.500000	OK	scene_0005.png
7	33.220000	39.240000	6.020000	OK	scene_0006.png
8	39.240000	45.300000	6.060000	OK	scene_0007.png
9	45.300000	52.200000	6.900000	OK	scene_0008.png
10	52.200000	54.080000	1.880000	OK	scene_0009.png
11	54.080000	62.360000	8.280000	OK	scene_0010.png
12	62.360000	68.780000	6.420000	OK	scene_0011.png
13	68.780000	74.520000	5.740000	OK	scene_0012.png
14	74.520000	78.380000	3.860000	OK	scene_0013.png
15	78.380000	82.260000	3.880000	OK	scene_0014.png
16	82.260000	87.000000	4.740000	OK	scene_0015.png
17	87.000000	92.000000	5.000000	OK	scene_0016.png
18	92.000000	99.420000	7.420000	OK	scene_0017.png
19	99.420000	105.840000	6.420000	OK	scene_0018.png
20	105.840000	112.860000	7.020000	OK	scene_0019.png
21	112.860000	119.440000	6.580000	OK	scene_0020.png
22	119.440000	124.400000	4.960000	OK	scene_0021.png
23	124.400000	126.760000	2.360000	OK	scene_0022.png
24	126.760000	136.780000	10.020000	OK	scene_0023.png
25	136.780000	141.060000	4.280000	OK	scene_0024.png
26	141.060000	148.720000	7.660000	OK	scene_0025.png
27	148.720000	156.120000	7.400000	OK	scene_0026.png
29	156.120000	163.860000	7.740000	OK	scene_0028.png
30	163.860000	169.360000	5.500000	OK	scene_0029.png
31	169.360000	174.240000	4.880000	OK	scene_0030.png
32	174.240000	179.460000	5.220000	OK	scene_0031.png
33	179.460000	184.780000	5.320000	OK	scene_0032.png
34	184.780000	190.520000	5.740000	OK	scene_0033.png
35	190.520000	195.160000	4.640000	OK	scene_0034.png
36	195.160000	201.120000	5.960000	OK	scene_0035.png
37	201.120000	207.920000	6.800000	OK	scene_0036.png
38	207.920000	212.260000	4.340000	OK	scene_0037.png
39	212.260000	221.380000	9.120000	OK	scene_0038.png
40	221.380000	223.440000	2.060000	OK	scene_0039.png
41	223.440000	230.840000	7.400000	OK	scene_0040.png
42	230.840000	236.880000	6.040000	OK	scene_0041.png
43	236.880000	241.040000	4.160000	OK	scene_0042.png
44	241.040000	251.780000	10.740000	OK	scene_0043.png
45	251.780000	258.920000	7.140000	OK	scene_0044.png
46	258.920000	264.700000	5.780000	OK	scene_0045.png
47	264.700000	270.760000	6.060000	OK	scene_0046.png
48	270.760000	277.160000	6.400000	OK	scene_0047.png
49	277.160000	284.560000	7.400000	OK	scene_0048.png
50	284.560000	291.500000	6.940000	OK	scene_0049.png
51	291.500000	298.860000	7.360000	OK	scene_0050.png
52	298.860000	306.620000	7.760000	OK	scene_0051.png
